2025-10-17 11:27:25,684 - INFO:   Interval 11, Epoch 4999, Loss: 1.499e-05, LR: 1.00e-06
2025-10-17 11:27:25,685 - INFO: --- Training Interval[12]: (2.0, 2.5) ---
2025-10-17 11:27:25,687 - INFO:   Interval 12, Epoch    0, Loss: 1.572e-04, LR: 1.00e-03
2025-10-17 11:27:26,537 - INFO:   Interval 12, Epoch  500, Loss: 1.572e-04, LR: 9.75e-04
2025-10-17 11:27:27,320 - INFO:   Interval 12, Epoch 1000, Loss: 2.179e-05, LR: 9.04e-04
2025-10-17 11:27:28,065 - INFO:   Interval 12, Epoch 1500, Loss: 2.179e-05, LR: 7.94e-04
2025-10-17 11:27:28,791 - INFO:   Interval 12, Epoch 2000, Loss: 2.179e-05, LR: 6.55e-04
2025-10-17 11:27:29,587 - INFO:   Interval 12, Epoch 2500, Loss: 5.443e-04, LR: 5.00e-04
2025-10-17 11:27:30,344 - INFO:   Interval 12, Epoch 3000, Loss: 1.572e-04, LR: 3.46e-04
2025-10-17 11:27:31,156 - INFO:   Interval 12, Epoch 3500, Loss: 1.572e-04, LR: 2.07e-04
2025-10-17 11:27:31,956 - INFO:   Interval 12, Epoch 4000, Loss: 1.572e-04, LR: 9.62e-05
2025-10-17 11:27:32,717 - INFO:   Interval 12, Epoch 4500, Loss: 5.443e-04, LR: 2.54e-05
2025-10-17 11:27:33,442 - INFO:   Interval 12, Epoch 4999, Loss: 1.572e-04, LR: 1.00e-06
2025-10-17 11:27:33,442 - INFO: --- Training Interval[13]: (2.5, 3.03125) ---
2025-10-17 11:27:33,444 - INFO:   Interval 13, Epoch    0, Loss: 3.285e-05, LR: 1.00e-03
2025-10-17 11:27:34,189 - INFO:   Interval 13, Epoch  500, Loss: 3.285e-05, LR: 9.75e-04
2025-10-17 11:27:34,975 - INFO:   Interval 13, Epoch 1000, Loss: 3.583e-04, LR: 9.04e-04
2025-10-17 11:27:35,727 - INFO:   Interval 13, Epoch 1500, Loss: 1.662e-03, LR: 7.94e-04
2025-10-17 11:27:36,473 - INFO:   Interval 13, Epoch 2000, Loss: 3.583e-04, LR: 6.55e-04
2025-10-17 11:27:37,209 - INFO:   Interval 13, Epoch 2500, Loss: 3.583e-04, LR: 5.00e-04
2025-10-17 11:27:37,930 - INFO:   Interval 13, Epoch 3000, Loss: 3.285e-05, LR: 3.46e-04
2025-10-17 11:27:38,705 - INFO:   Interval 13, Epoch 3500, Loss: 1.662e-03, LR: 2.07e-04
2025-10-17 11:27:39,452 - INFO:   Interval 13, Epoch 4000, Loss: 3.583e-04, LR: 9.62e-05
2025-10-17 11:27:40,228 - INFO:   Interval 13, Epoch 4500, Loss: 1.662e-03, LR: 2.54e-05
2025-10-17 11:27:40,958 - INFO:   Interval 13, Epoch 4999, Loss: 3.583e-04, LR: 1.00e-06
2025-10-17 11:27:40,959 - INFO: --- Training Interval[14]: (3.03125, 3.8125) ---
2025-10-17 11:27:40,961 - INFO:   Interval 14, Epoch    0, Loss: 7.178e-04, LR: 1.00e-03
2025-10-17 11:27:41,707 - INFO:   Interval 14, Epoch  500, Loss: 1.512e-14, LR: 9.75e-04
2025-10-17 11:27:42,472 - INFO:   Interval 14, Epoch 1000, Loss: 1.512e-14, LR: 9.04e-04
2025-10-17 11:27:43,280 - INFO:   Interval 14, Epoch 1500, Loss: 1.512e-14, LR: 7.94e-04
